,Nit No.,Title,Last Date,Published On
5079,3901,Name of Work.. A/R and M/O Building in Academic Area at IIT Delhi. Sub Head. I . Surface dressing of area between blocks no II and III near bio gas plant in Academic Area at IIT Delhi.,01-01-2014,23-12-2013
5080,3558,CORRIGENDUM- AR and MO Buildings in Hostel Area West Campus during the year 2013-14. Sub Head Job Works of up-keeping Civil Maintenance services in Hostel Area at IIT Delhi,09-09-2013,03-09-2013
5081,3202,A.R. and M.O. E.I. and Fans in Hostel area i/c street light arrangement at IIT Delhi. S. H. Annual maintenance contract for High Mast lighting system of various play courts in Hostel area.,01-05-2013,15-04-2013
5082,2930,Supply of one in number portable RF Power Meter,22-02-2013,08-02-2013
5083,2629,Purchase of PMMA Plastic Optcal Fiber,06-12-2012,30-11-2012
5084,2357,"A.R. and M.O. E.I. and fans in academic area I c street light arrangement at IIT Delhi SH Replacement of existing burnt-out E.I. in II-97, WS-104, II-205 etc at IIT Delhi.",27-09-2012,26-09-2012
5085,1938,"Packaging and Transportation of Formula Racing Car for Formula Student competition at Silverstone, UK and Return",30-06-2012,28-06-2012
5086,1527,Prebid Clarifications: Ref No:IITD/SP/CSC/12/01   Tender for Supply and Installation of 1Gbps (1:4) / 200Mbps (1:1) Internet Leased line and accompanying accessories at IIT Delhi Campus,13-03-2012,07-03-2012
5087,1021,NIQ For Spectro-electrochemical measurement system.,27-12-2011,05-12-2011
5088,650,NIQ FOR   1. Chemiluminescence NOx Analyzer  2. Engine Exhaust Gas Analyzer,18-10-2011,26-09-2011
5089,229,"NIQ FOR Renovation of M.Tech(SSM)Laboratory, Department of Physic(Room No.MS425,431,432 & Room No. MS304) and -710 of Chemistry Deptt. at IIT Delhi",06-06-2011,31-05-2011
5090,14018,5 kW Programmable DC Power Supply with Solar Array Simulation (1 No.),03-03-2021,10-02-2021
5091,13779,KrF premix gas cylinder for Coherent Compex pro 102 Excime Laser System,13-10-2020,22-09-2020
5092,13350,Tilting pad bearing setup,19-03-2020,27-02-2020
5093,12774,AUTOMATIC SCREEN PRINTER,23-12-2019,25-11-2019
5094,12116,Photopolymer 3D printer,12-09-2019,22-08-2019
5095,11335,3-phase PQ Analyzer,10-04-2019,20-03-2019
5096,10872,Laser,18-01-2019,28-12-2018
5097,10209,Atomic Layer Deposition (ALD) System,26-09-2018,27-08-2018
5098,9710,Rate Contract for Stationary Items,11-05-2018,24-04-2018
5099,9237,"Name of work   : A.R. & M.O. Building in Boys Hostel  Maintenance Area at IIT Delhi during the year 2017-2018.  Sub-Head:- O.B.D. and Painting in Reception ,Kitchen ,Corridors and Common areas in Boys Hostel of West campus at IIT Delhi",08-01-2018,20-12-2017
5100,8812,N/W: A.R. & M.O. Sub -Station at IIT Delhi. SH:- Repairing of 450 KVAR APFC Panel in Vishwakarma Bhawan Sub-Station.,21-09-2017,19-09-2017
5101,8323,C band Semiconductor Optical Amplifier,27-06-2017,13-06-2017
5102,7826,Composite Cutter,16-03-2017,02-03-2017
5103,7476,Name of work.. AR and MO Buildings in Academic Area at IIT Delhi. Sub Head..Repair and Maintenance work in Floor of IV.LT.3 for making new Design Innovation Center in Academic Area at IIT Delhi.,05-01-2017,27-12-2016
5104,7066,Chiral HPLC Column,24-10-2016,07-10-2016
5105,6423,"Quotations for Binding of Books/Journals for Central Library, IIT Delhi",08-06-2016,18-05-2016
5106,6127,Purchase of LED Light Source (White),18-01-2016,11-01-2016
5107,5793,Motion Capture System for UAVs,23-09-2015,10-09-2015
5108,5465,EOI for preparation of activities / games on Professional Ethics and Social Responsibility.,12-05-2015,28-04-2015
5109,5118,Research Fluorescent Inverted Microscope,23-01-2015,06-01-2015
5110,4803,Purchase of an HPLC Pump,10-10-2014,25-09-2014
5111,4498,NIQ for HiRise Movable Hydraulic Scissor Lifting Machine,07-07-2014,24-06-2014
5112,4181,NIQ for Photo Copier Paper A4 Size (Powermake),18-03-2014,10-03-2014
5113,3923,AR and MO EI and fans i/c street light arrangements in residential area at IIT Delhi. SH.. S/I/T/C of light & Fan in temporary constructed class room in Central School in East Campus at IIT Delhi.,01-01-2014,01-01-2014
5114,3559,CORRIGENDUM A/R & M/O. Public Health Services at IIT Delhi during the year of 2013-2014. Sub Head Operations of,09-09-2013,03-09-2013
5115,3204,"Supply, Erection, Testing and Commissioning of 12.5 Mtr. High Mast Pole Lighting system in Nalanda Ground Hostel Area, Main Gate Acad. area and Neelkanth Community Centre at IIT Delhi.",01-05-2013,15-04-2013
5116,2888,200 MHz Digital Storage Oscilloscope,21-02-2013,30-01-2013
5117,2604,Upgrade of exitinf 10 licenses SPSS V17.0 to latest version of SPSS software.,06-12-2012,22-11-2012
5118,2314,Corrigenudm : PID temperature controller for low temperatures,27-09-2012,17-09-2012
5119,1876,Optical Components,29-06-2012,11-06-2012
5120,1437,NIQ FOR 40 KVA UPS AND 120 KVA Phase Sequence Corrector for 40 KVA *3 UPS.,12-03-2012,24-02-2012
5121,1022,NIQ for the Purchase of RDE and RRDE system.,27-12-2011,05-12-2011
5122,690,NIQ FOR Purchase of Potentiostat/Galvanostat with FRA & accessories,18-10-2011,04-10-2011
5123,230,NIQ FOR Atomic Force Microscopy with Multiple Options,03-06-2011,31-05-2011
5124,14021,Erbium-doped fiber amplifier (EDFA),03-03-2021,10-02-2021
5125,13800,Name of Work:- A.R. & M.O.E.I and fans in Academic area i/c street light arrangement at IIT Delhi.    SH:- Restoring the power supply of block-II main board at 3rd floor (Near Room No.409)in academic area at IIT Delhi,13-10-2020,07-10-2020
5126,13351,Research Grade Rotational Rheometer,19-03-2020,27-02-2020
5127,12815,Stabilized and Tunable CW Laser,23-12-2019,02-12-2019
5128,12152,"Lodging, boarding and catering for conducting KSBS annual symposium â€˜BioWorld 2019â€™",11-09-2019,27-08-2019
5129,11354,Name of work - A/R M/O Building in Academic Area at IIT Delhi during the year 2017-2018. Sub-Head - Cleaning of PVC and RCC water storage tank in Academic Area at IIT Delhi.,10-04-2019,26-03-2019
5130,10901,pH and Conductivity Multiparameter Meter (Benchtop),18-01-2019,04-01-2019
5131,10264,PM Analyzer,26-09-2018,05-09-2018
5132,9711,Rate Contract for Pre-Printed Stationery Items,11-05-2018,24-04-2018
5133,9214,Portable Emission Measuring System Black Carbon and Micro Aerosol Meter,05-01-2018,15-12-2017
5134,8794,A.R. & M.O. E.I. and fans in academic area i/c street light and arrangement at IIT Delhi. Sub â€“Head: - Annual maintenance contract for 01 Nos. 15KVA UPS installed at Seminar Hall in academic area at IIT Delhi.,20-09-2017,14-09-2017
5135,8324,100 GHz Arrayed Waveguide grating,27-06-2017,13-06-2017
5136,7828,Requirement of Material for Central civil Store at IIT Delhi.                     (G.I. Pipe),16-03-2017,02-03-2017
5137,7477,Name of work:- A/R & M/O Buildings in Academic Area at IIT Delhi. Sub Head:- Construction of temporary canopy outside of MS building (Both side) in Academic Area at in Academic Area at IIT Delhi.,05-01-2017,27-12-2016
5138,6943,Servo-hydraulic Actuator with Controller for Structural Testing Facility,21-10-2016,22-09-2016
5139,6427,Providing & fixing E.I in renovation of different Laboratories / Offices / Departments in Academic Area at IIT Delhi.,08-06-2016,19-05-2016
5140,6128,Purchase of LED Light Source (White),18-01-2016,11-01-2016
5141,5810,CORRIGENDUM..PC BASED ATOMIC ABSORPTION SPECTROPHOTOMETER,23-09-2015,16-09-2015
5142,5445,Solar PV Emulators (2 Nos.),11-05-2015,20-04-2015
5143,5116,Class II Type A2 4 Feet Biological Safety Cabinet,23-01-2015,06-01-2015
5144,4804,Twistless Yarn Spinning Machine,10-10-2014,25-09-2014
5145,4485,NIQ for Xenon Light Source,05-07-2014,20-06-2014
5146,4197,N/W..A.R.and.M.O. E.I. and fans in Hostel Area i/c street light arrangement at IIT Delhi. SH.. Replacement of defective/worn out light circuit wiring in basement of Vikramshila Apartment Block No.I and III.,18-03-2014,12-03-2014
5147,3889,Xeon Tower Workstation,01-01-2014,17-12-2013
5148,3560,CORRIGENDUM- A.R. & M.O. Building in Academic Area at IITD Sub Head Job works of up keeping (Civil Maintenance in Academic Area at IITD.,09-09-2013,03-09-2013
5149,3207,A.R. and M.O. Building in Hostel Area West Campus during the year 2013-2014. Sub Head . O.B.D. and Painting of Corridors and Common area in Hostels of West Campu,01-05-2013,15-04-2013
5150,2921,P/I/T/C of additional 02 Nos. 4.0 TR standing Tower type Air-Conditioners in Dinning Hall of Faculty Guest House at IIT Delhi.,21-02-2013,07-02-2013
5151,2594,Servo-hydraulic actuator and accessories,05-12-2012,20-11-2012
5152,2279,PID temperature controller for low temperatures,27-09-2012,10-09-2012
5153,1920,Procurement of Zero -B refill Cartridges.,29-06-2012,22-06-2012
5154,1440,NIQ FOR Purchase of Dell R710 Server.,12-03-2012,24-02-2012
5155,1061,NIQ FOR Branded Mobile Workstation.,27-12-2011,13-12-2011
5156,708,"CORRIGENDUM Reference: This Office NIT No. IITD/DWI24 (E)/EE (E)/2011148 Dated: 19.09.2011 Renovation in Disaster Recovery site in Block No. II, Room No. 433/1 at IIT Delhi.",18-10-2011,10-10-2011
5157,231,NIQ FOR A/R & M/O Building in Academic Area at IIT Delhi,03-06-2011,31-05-2011
5158,14023,Polarimeter- polarization analyzer,03-03-2021,10-02-2021
5159,13775,Double Jacketed Glass (thermostatic and vacuum jacket) Reactor setup with Temperature control system,12-10-2020,21-09-2020
5160,13413,Replacement of M.S. Pipe of wet riser cum down comer system in Himadri Hostel at IIT Delhi,19-03-2020,12-03-2020
5161,12817,Nonlinear crystal with temperature controller for SPDC,23-12-2019,02-12-2019
5162,12194,Notice Inviting Quotation for â€œOnline UPS and Batteries for Instruments in CRF IIT Delhi Sonipat Campusâ€,11-09-2019,04-09-2019
5163,11399,"AR & MO. Central AC Plants, package unit, constant Temp., Cold room, Refrigerator, water cooler at IIT Delhi.(""Treated as cancel and refer to tender no.11401"")",09-04-2019,09-04-2019
5164,10904,Plotter + Scanner,18-01-2019,04-01-2019
5165,10265,PV Emulator,26-09-2018,05-09-2018
5166,9720,C operated Vacuum diaphragm pump,11-05-2018,25-04-2018
5167,9201,Glove Box four port with mounted spin coater,03-01-2018,13-12-2017
5168,8710,Centrifuge Swing-bucket rotor along with Adapter and Alternate,19-09-2017,29-08-2017
5169,8342,"A/R and M/O Central AC plant and Package Unit at IIT Delhi.Sub Head- Installation, Testing and Commissioning of window and SPLIT Type Air-Conditioners of Various Deppt./Centers in IIT Delhi.",27-06-2017,15-06-2017
5170,7832,NIQ for Printing of Vehicle Register,16-03-2017,02-03-2017
5171,7478,Name of work:- A/R & M/O Buildings in Academic Area at IIT Delhi. Sub Head:- Minor renovation work in room no. 207-A17 for creating new room for Dean (Alumni) in Dean Complex in Academic Area at IIT Delhi.,05-01-2017,27-12-2016
5172,7024,TMP Based Vacuum Pumping System,21-10-2016,30-09-2016
5173,6445,Name of work..A . Construction of Cement Concrete path in front of Kalyan Mandapam facility centre at East Campus. Sub Head .. Civil Work.,08-06-2016,31-05-2016
5174,6129,CORRIGENDUM..Purchase of Tubular Microscope,18-01-2016,11-01-2016
5175,5780,"Workstation (48 virtual core, 2.3 GHz, 128 GB RAM, 8 TB Storage) and UPS (3 KVA)",22-09-2015,03-09-2015
5176,5446,Power Quality Analyzer,11-05-2015,20-04-2015
5177,5140,Refrigerated Incubator Shaker,23-01-2015,09-01-2015
5178,4808,Procurement of copper Ballast 40watt.,10-10-2014,25-09-2014
5179,4495,To Purchase Coffee/TeaTable/Luggage Rack for Main Guest House,04-07-2014,24-06-2014
5180,4198,N/Work..AR nad MO E.I and fans i/c street light arrangements in residential area at IIT Delhi. SubHead.. Providing and Fixing Garden Lights in Himadri Hostel in East Campus at IIT Delhi.,18-03-2014,12-03-2014
5181,3865,Purchase of proprietary items from NI (National Instruments) with accessories,31-12-2013,09-12-2013
5182,3561,"CORRIGENDUM A.R. & M.O. Building in Residential Area (East Campus) during the year 2013-14 Sub Head Job works of up keeping (Civil Maintenance) services in Residential Area at IIT, Delhi.",09-09-2013,03-09-2013
5183,3183,Pressure Indicating Sensors and Hubs,30-04-2013,08-04-2013
5184,2922,A.R. and M.O. E.I. and fans in Residential area i/c street light arrangement at IIT Delhi. S.H. Providing Electrical connection to new allotted Security space near Dhobi Ghat in East Campus.,21-02-2013,07-02-2013
5185,2600,15 kVA and 10 kVA Online UPS,05-12-2012,21-11-2012
5186,2246,70 liter bioreactor with accessories,26-09-2012,04-09-2012
5187,1873,"A.R. & M.O. Central AC Plants, Package unit at IIT Delhi. S.H. :- Annual operation and comprehensive maintenance of Central Air-Conditioning plant of Central Library Building at IIT Delhi.",29-06-2012,08-06-2012
5188,1456,NIQ FOR Water Chiller (Qty. â€“ 1),12-03-2012,27-02-2012
5189,1088,Name of work: -A.R. & M.O. Building in Academic Area at IIT Delhi. SH: -Making of footpath in between Block No. III & IV (Back side of III/154 to Block No. IV Corridor) in Academic Area at IIT Delhi.,27-12-2011,21-12-2011
5190,722,CORRIGENDUM  Reference No:IITD/EE/OCL/NPN(05)/BEEN(JOP) dated: 20.9.11 Uploaded on 20/9/11 till 10/10/11  Purchase of Optical Components for Free Space Optical Communication Link,18-10-2011,13-10-2011
5191,232,NIQ FOR Supply of Products,02-06-2011,31-05-2011
5192,14059,Minor renovation work in block-IV/136 at IIT Delhi.,03-03-2021,22-02-2021
5193,13776,Pressurized Drop Tube Furnace,12-10-2020,21-09-2020
5194,13336,Purchase of CCD Camera Beam Profiler and M2 Measurement Extension Set,18-03-2020,26-02-2020
5195,12818,Purchasing the services of a firm for production of full HD format 5min video film of sponsored RandD projects of Indian Institute of Technology Delhi.,23-12-2019,02-12-2019
5196,12108,Underwater Projector,11-09-2019,21-08-2019
5197,11344,Making a temporary roof shade in Horticulture Nursery unit near main gate at I.I.T. Delhi. Sub-Head- Civil Work,08-04-2019,25-03-2019
5198,10917,CORRI-Name of work: A.R & M.O. E.I & fans in Hostel area i/c street light arrangement at IIT Delhi. Sub Head: Replacing old 36W CFL fitting with 25W LED post top fitting in garden in Vikramshila Apptt.,17-01-2019,08-01-2019
5199,10267,Fume Hood with pull out cabinet,26-09-2018,05-09-2018
5200,9693,A.R and M.O Telephone Exchange at IIT Delhi. Sub-Head- Maintenance of Outdoor and Indoor Telephone Network,11-05-2018,20-04-2018
5201,9206,Plasma system for cleaning of FTO/ITO/Glass substrate,03-01-2018,13-12-2017
5202,8711,INVERTED MICROSCOPE,19-09-2017,29-08-2017
5203,8361,Name of work- Providing and fixing false ceiling in mess of Kailash hostel at IIT Delhi Sub-Head - Civil Work,27-06-2017,19-06-2017
5204,7859,Video Documentation of NRF Facilities,15-03-2017,09-03-2017
5205,7427,Supply of microphones and accessories,04-01-2017,20-12-2016
5206,7102,Providing and fixing additional electrical power points for power and computer in Civil Engg. Deptt. Committee room in Academic area at IIT Delhi.,21-10-2016,14-10-2016
5207,6418,DFT Software,07-06-2016,17-05-2016
5208,6066,X-Ray Fluorescence Spectrometer,18-01-2016,22-12-2015
5209,5765,Hardware-In-the-Loop (HIL) Interface compatible with Opal RT Simulator,21-09-2015,01-09-2015
5210,5447,Data Acquisition Systems (2 No.s),11-05-2015,20-04-2015
5211,5153,corrigendum..Refrigerated Incubator shaker,23-01-2015,15-01-2015
5212,4862,AR and MO E.I. in academic area i/c street light arrangement at IIT Delhi. SubHead..Shifting of LT panels in block.II and IV due to constructions of cycle parking in academic area.,10-10-2014,09-10-2014
5213,4478,Construction of temporary labs. in Micromodel Complex at IIT Delhi SubHead.. Civil Work,04-07-2014,19-06-2014
5214,4159,Automatic Density Meter for liquids,18-03-2014,04-03-2014
5215,3883,Phase only spatial light modulator,31-12-2013,16-12-2013
5216,3571,"CORRIGENDUM Name of Work A.R. and M.O. Building in Residential Area East Campus during the year 2013 .14 Sub Head Job works of up keeping Civil Maintenance services in Residential Area at IIT, Delhi.",09-09-2013,06-09-2013
5217,3177,Hybrid Computational cluster with 60 or more CPU cores with appropriate peripherals,30-04-2013,04-04-2013
5218,2879,PSIM power Electronic Circuit Simulation software,20-02-2013,29-01-2013
5219,2590,Engaging Event Manager for Asian Congress on Biotechnology (ACB-2013),05-12-2012,20-11-2012
5220,2247,70 liter bioreactor with accessories,26-09-2012,04-09-2012
5221,1875,Purchase of Server for Physics Department,29-06-2012,11-06-2012
5222,1403,A.R & M.O. E.I and fans in Acad.area i/c street light arrangement at IIT Delhi. S.H:- Replacement of existing main board in cubical panel near MS 408 Physics Deptt. at IIT Delhi.,12-03-2012,22-02-2012
5223,1124,CORRIGENDUM Reference No:No.IITD/E.E. (C-I)/ Dec. 11/ 2468/ 20/12/2011.    Due to some unavoidable circumstances the quotation notice ofabove subject work treated as canceled.      Name ofwork: -A/R & M/O Building in Academic Area at IIT Delhi. SH: -Making offootpath in between Block No. III & IV (Back side of 111/154 to Block No. IV Corridor) in Academic Area at IIT Delhi.,27-12-2011,27-12-2011
5224,673,NIQ FOR Viscosity water bath (Two in numbers),17-10-2011,30-09-2011
5225,233,NIQ FOR Chase -Type Friction Testing Machine,02-06-2011,31-05-2011
5226,14060,Name of work   :- A/R & M/O buildings in East Campus at IIT Delhi.  Sub-Head:- Minor repair work in front area of H. No. 10 West Avenue at IIT Delhi.,03-03-2021,22-02-2021
5227,13777,Pratham 5.0 3D Printer,12-10-2020,21-09-2020
5228,13337,Recruitment of data agency in zone 4 through e-procurement,18-03-2020,26-02-2020
5229,12822,Mini Cryo-vacuum Probe station,23-12-2019,02-12-2019
5230,12109,Frequency extender for Spectrum Analyzer,11-09-2019,21-08-2019
5231,11366,"A.R. & M.O. E.I. and fans in residential area i/c street light arrangement at IIT Delhi. Sub-Head:- Replacement of existing open wire, cables on the wall in Kailash Hostel.",08-04-2019,28-03-2019
5232,10847,DUST TRAK,17-01-2019,27-12-2018
5233,10306,Purchase of   a) High Speed PXI/PXIe based Data Acquisition Card for measuring Sound and Vibration Signal  b) Computer with appropriate PCI slot,26-09-2018,12-09-2018
5234,9696,High Pressure Capillary Rheometer,11-05-2018,20-04-2018
5235,9207,Fluorescence spectrophotometer,03-01-2018,13-12-2017
5236,8717,Multichannel Potentiostat,19-09-2017,29-08-2017
5237,8369,Providing E.I in modification of canteen in DMS Building at IIT Delhi.,27-06-2017,20-06-2017
5238,7887,STACKABLE REFRIGERATED SHAKER (UP TO 3) WITH COOLING INCUBATOR UNIT ABOVE,15-03-2017,15-03-2017
5239,7472,OSLO SOFTWARE,04-01-2017,26-12-2016
5240,7093,A.R and M.O E.I. and fans in academic area i/c street light arrangement at IIT Delhi. Sub-Head- Replacement of existing tube light fittings in III-LT1 and IV-LT1 Lecture Theaters.,20-10-2016,13-10-2016
5241,6422,Picoammeter/Voltage Source,07-06-2016,17-05-2016
5242,6077,RF Power Supply for Sputtering System,18-01-2016,28-12-2015
5243,5766,Power Amplifier,21-09-2015,01-09-2015
5244,5483,"N/W..A.R.and.M.O. E.I. and fans in Hostel Area i/c street light arrangement at IIT Delhi. SH.. Providing and fixing Cubical Meter Panel board in Nalanda Hostel behind Caretaker Office, Photostat Shop in Girnar Hostel and Swimming Pool.",11-05-2015,07-05-2015
5245,5156,A/R and M/O Building in Academic Area at IIT Delhi. Sub Head..Job works of up keeping (Civil Maintenance) in Academic Area at IIT Delhi.,23-01-2015,15-01-2015
5246,4770,Purchase of MasterCAM (CNC programming and CAM simulation software),09-10-2014,17-09-2014
5247,4479,Exterior repair and painting of Taxila Apartment at IIT Delhi,04-07-2014,19-06-2014
5248,4160,"EEG,ECG and GSR",18-03-2014,04-03-2014
5249,3890,Multi channel Strain gage data logger for static/dynamic strain measurements,31-12-2013,18-12-2013
5250,3572,CORRIGENDUM..add. terms of condition A/R & M/O. Public Health Services at IIT Delhi during the year of 2013-2014.,09-09-2013,06-09-2013
5251,3209,RFIC fabrication,30-04-2013,16-04-2013
5252,2917,LTE wireless Library and simulator licences,20-02-2013,05-02-2013
5253,2587,Purchase of Automated Compactor for Compaction and CBR Test (Imported) with Accessories.,04-12-2012,19-11-2012
5254,2248,70 liter bioreactor with accessories,26-09-2012,04-09-2012
5255,1898,"A.R. & M.O. Building in Residential Area (East Campus) during the year 2012-13. S.H-Raising of existing footpath, plinth protection and providing and laying S.W. Line for Blocks-C-1 to C-9, B-6 to B-24, D-1, D-2, IV-13 and IV-14 at IIT Delhi.",28-06-2012,18-06-2012
5256,1431,NIQ FOR Power quality analyzer/meter (hand-held with battery).,09-03-2012,23-02-2012
5257,1076,A.R & M.O.E.I and fans in academic area i/c street light arrangement at IIT Delhi.,27-12-2011,15-12-2011
5258,678,NIQ FOR Viscosity water bath (Two in numbers),17-10-2011,04-10-2011
5259,234,NIQ FOR Item Rate Quotation from bidders/supplers,01-06-2011,31-05-2011
5260,14067,â€˜Bâ€™ Check & Repair of 06 Nos. Diesel Engines for fire pumps installed at different buildings at IIT Delhi.,03-03-2021,24-02-2021
5261,13787,"Maintenance & operation of Electrical, Mechanical, Fire Services, of Lecture Hall Complex at IIT Delhi.",12-10-2020,28-09-2020
5262,13338,Recruitment of data agency in zone 3 through e-procurement,18-03-2020,26-02-2020
5263,12864,Repairing/Replacement of 01 X 200 KVA capacity UPS(Emerson Make)installed at Lecture Hall Complex of IIT Delhi.,23-12-2019,11-12-2019
5264,12110,Stereolithography Apparatus with Accessories,11-09-2019,21-08-2019
5265,11278,Accessories of testing machine 50kN,05-04-2019,08-03-2019
5266,10860,Photon Detector,17-01-2019,27-12-2018
5267,10314,DIGITAL SOURCE METER,26-09-2018,12-09-2018
5268,9725,Name of Work- A/R M/O Planning Unit at I.I.T Delhi. Sub Head- Providing the services of office staff for Civil Planning Division.,10-05-2018,26-04-2018
5269,9208,Terahertz Kit,03-01-2018,13-12-2017
5270,8750,Completing Renovation and Refurbishing,19-09-2017,05-09-2017
5271,8354,Addition and Alteration work in New Campus and Textile Department at IIT Delhi.,26-06-2017,16-06-2017
5272,7758,"Supplying ,Installation,Testing and Commissioning of Water drain pipe to throw out the condensate water from Window ,Split and ductable type Air conditioners installed in block -I to block -VI and multy storied Building in IIT Delhi.",15-03-2017,15-02-2017
5273,7434,Supply of electronic components,04-01-2017,21-12-2016
5274,7008,Centrifugal Vacuum Concentrator,20-10-2016,29-09-2016
5275,6419,"Supply of Furniture like Reception Table, Office Tables, High Back Revolving Chair, Medium Back Revolving Chair, Visitor Chair, Sofa Set, Settee, Conference Table, Centre Table, Corner Table. (As per specifications given in Schedule of Quantity Page",07-06-2016,17-05-2016
5276,6085,"Tribometer with testing configurations of 4-balls test, 3 pins-on-disc test, thrust pad bearing, and journal bearing",18-01-2016,30-12-2015
5277,5788,"Name of work:- A.R. & M.O central AC plant & package unit at IIT Delhi. Sub Head:- Annual maintenance of package & ductable type AC of VI LT-1 & 2 , V LT-2 , IV LT-3 and other site in IIT Delhi",21-09-2015,08-09-2015
5278,5486,N/W.A.R and M.O E.I and fans in resi.area i/c street light arrangement at IIT Delhi. SH.providing E.I and Fans and other minor work at Bharat Ghar and Kailash Hostel in East Campus at IIT Delhi.,11-05-2015,08-05-2015
5279,5157,Chapatti making machine under buy back scheme for Aravali Hostel,23-01-2015,16-01-2015
5280,4778,ONLINE BIOMASS CAPACITANCE PROBE FOR BIOREACTOR,09-10-2014,18-09-2014
5281,4506,Procurement of spare parts for Air Conditioners.,04-07-2014,26-06-2014
5282,4156,Mass flow controller (Flow range 0.2000 SLPM),17-03-2014,03-03-2014
5283,3850,NIQ for DSC,27-12-2013,03-12-2013
5284,3573,CORRIGENDUM and add condition - AR and MO Buildings in Hostel Area West Campus during the year 2013-14. Sub Head Job Works of up-keeping Civil Maintenance services in Hostel Area at IIT Delhi,09-09-2013,06-09-2013
5285,3203,1. Providing and fixing power points and tube light fittings in Central library in Academic area at IIT Delhi. 2. Providing and fixing E.I. in Nano research Facility Block No.VI in Acad. area at IIT Delhi. 3. Providing and fixing street light fitting,30-04-2013,15-04-2013
5286,2920,Workstation,20-02-2013,07-02-2013
5287,2588,Purchase of Digital Sieve Shaker Electromagnetic (Imported),04-12-2012,19-11-2012
5288,2250,15 Liter bio-reactor with accessories,26-09-2012,04-09-2012
5289,1899,"Renovation/ Addition & Alteration works in different laboratories, research scholar's rooms & faculty rooms in academic area at IIT Delhi.",28-06-2012,18-06-2012
5290,1436,NIQ FOR Purchase of One Disk Shelf for NetApp Storage FAS 3210.,09-03-2012,24-02-2012
5291,1083,NIQ for LED Lighting System.,26-12-2011,20-12-2011
5292,687,NIQ FOR  Texture Analyzer,17-10-2011,04-10-2011
5293,235,NIQ FOR A.R & M.O Building in Academic Area During The Year 2011-12,01-06-2011,31-05-2011
5294,14017,Laser Doppler Vibrometer,02-03-2021,09-02-2021
5295,13792,Renovation and Addition Alteration in Lab Faculty Offices etc. in Multy-Story Building in academic area at IIT Delhi during the year 2019-2020.,12-10-2020,30-09-2020
5296,13332,Universal Testing Machine (UTM),17-03-2020,25-02-2020
5297,12800,"SUPPLY AND INSTALLATION OF FUME HOODS, ISLAND BENCHES, WALL BENCHES, CHEMICAL STORAGE CABINETS, SOLVENT CABINETS, GAS STORAGE CABINETS AND OTHER LAB ITEMS FOR A CUSTOMIZED CHEMISTRY RESEARCH LAB OF DIMENSIONS (34 ftÃ—24 ft) & (8 ftÃ—12 ft).",20-12-2019,29-11-2019
5298,12183,"Sub Head -Annual maintenance of package and ductable type AC of VI LT-1 and 2, V LT-2, IV LT-3 and other site in IIT Delhi. ( Day to day operation is no cover in the scope of work )",11-09-2019,02-09-2019
5299,11279,Testing Machine 50kn with high quality strain gauge,05-04-2019,08-03-2019
5300,10861,Chemiluminescence Documentation System,17-01-2019,27-12-2018
5301,10256,10 kVA UPS (Qty 2 Nos),25-09-2018,04-09-2018
5302,9682,Source Measure Units with preamplifier- Parameter Analyzer,09-05-2018,18-04-2018
5303,9235,Optical Time Domain Reflectometer,03-01-2018,20-12-2017
5304,8758,"Name of work   : A/R & M/O Buildings in Academic Area at IIT Delhi.  Sub-Head:- Repair/ Maintenance work in II-290, Food and Bioprocess Engg. Lab at MicroModel and Small partition in Computer Service Centre in Academic Area at IIT Delhi.",19-09-2017,08-09-2017
5305,8289,100 GHz 1/4 Wavelength Selective Switch,23-06-2017,07-06-2017
5306,7783,Laser Engraving/ Cutting System,15-03-2017,22-02-2017
5307,7436,Supply of 500 units of Lithium-Polymer (Li-Po) batteries,04-01-2017,21-12-2016
5308,7009,Lab Dryer,20-10-2016,29-09-2016
5309,6450,A.R AND M.O DG Sets at IIT Delhi.. Sub Head.. S .Fixing of 2 x 1000 amp ACB in AMF Panel at Main Pump House,07-06-2016,01-06-2016
5310,6097,UV Vis Spectrophotometer,18-01-2016,05-01-2016
5311,5762,Vector Network analyzer with calibration Kits and Cables.,18-09-2015,28-08-2015
5312,5457,Signal Conditioning Amplifier,08-05-2015,23-04-2015
5313,5132,Ergonomics Toolkit,23-01-2015,08-01-2015
5314,4823,A.R. and M.O. AC Plant and package type units at IIT Delhi. S.H.. Repairing and rewinding of Three Phase induction motor and repairing of Automatic Star Delta Starter of Condenser pump of Central air conditioning Plant of Computer service center.,09-10-2014,29-09-2014
5315,4431,Notice Inviting Quotations (NIQ) for INDIAN INSTITUTE OF TECHNOLOGY DELHI  EMPLOYEES (Serving/Retired) HEALTH INSURANCE SCHEME,03-07-2014,10-06-2014
5316,4183,Supply of Vector Network Analyzer,17-03-2014,10-03-2014
5317,3875,Purchase of 8051 Evaluation boards and compiler,27-12-2013,12-12-2013
5318,3574,CORRIGENDUM and add condition . A.R. and M.O. Building in Academic Area at IITD Sub Head Job works of up keeping (Civil Maintenance in Academic Area at IITD.,09-09-2013,06-09-2013
5319,3201,Providing built up space for installation of metering cubical at the existing ESS at Taxila / Vaishali complex to meet the requirement of common services for 96 Nos Prof. Apartment's. S.H.. Civil Work,29-04-2013,15-04-2013
